priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
42,P2,PP,AFKO,GLTRP,Basic finish date,strong_canonical_candidate,employee.position,employee.position:0.80 | training.completion_date:0.80,end date,end date:1.00 | wo end date:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,AFKO,GSTRP,Basic Start Date,strong_canonical_candidate,absence.start_date,absence.start_date:0.80 | employee.position:0.60 | validity.start_date:0.60,start date,start date:1.00 | wo start date:1.00 | absence start date:0.55,promote_existing_canonical_alias_after_quick_review
42,P2,PP,AFKO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,AFKO,RUECK,Completion confirmation number for the operation,strong_canonical_candidate,backorder.quantity,backorder.quantity:0.80 | production_operation.number:0.60,backorder quantity,backorder quantity:1.00 | operation number:0.55,promote_existing_canonical_alias_after_quick_review
42,P2,PP,AFPO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,CRHD,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,MAST,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,MDKP,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,MDTB,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLAF,DAC_CREATION_DATE,System Date,strong_canonical_candidate,document.created_date,document.created_date:0.75,created date,created date:0.70,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLAF,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLAF,SRM_CONTRACT_ID,Central Contract,strong_canonical_candidate,contract.id,contract.id:0.75 | activity id:0.60 | case.id:0.60,contract number,contract number:0.70 | contract reference:0.70 | contract.id:0.70,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLKO,KTEXT,Routing Description,strong_canonical_candidate,cost_center.name,cost_center.name:0.80,cost center name,cost center name:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLKO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLPO,LTXA1,Operation Short Text,strong_canonical_candidate,address.city,address.city:0.80,operation description,operation description:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,PLPO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,STKO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,STPO,DOKVR,Document Version,strong_canonical_candidate,version.number,version.number:0.80,document version,document version:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,STPO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
42,P2,PP,STPO,PRODUCTTYPE,Product Type Group,strong_canonical_candidate,material.type_code,material.type_code:0.80 | product.category:0.60 | material.raw_material_group_id:0.50,material type,material type:1.00 | material group:0.55,promote_existing_canonical_alias_after_quick_review
