priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
21,P1,MM,EBAN,DELIVERYADDRTYPE,Purchasing Delivery Address Type,knowledge_only,,,address type,address type:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,LFDAT,Item Delivery Date,knowledge_only,,,delivery date,delivery date:1.00,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,LPEIN,Category of delivery date,knowledge_only,,,delivery date,delivery date:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,MHDRZ,Minimum Remaining Shelf Life,knowledge_only,,,shelf life,shelf life:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,STACODE,Status Code,knowledge_only,,,status code,status code:0.90,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,UMSOK,Special stock indicator for physical stock transfer,knowledge_only,,,stock transfer,stock transfer:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,UZEIT,Delivery Date Time-Spot,knowledge_only,,,delivery date,delivery date:0.55 | time entry date:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,WEPOS,Goods Receipt Indicator,knowledge_only,,,goods receipt,goods receipt:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EBAN,WEUNB,"Goods Receipt, Non-Valuated",knowledge_only,,,goods receipt,goods receipt:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,DESP_DAT,Date,knowledge_only,,,time entry date,time entry date:0.90,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,EINDT_ALLOW,Take Account of Delivery Date,knowledge_only,,,delivery date,delivery date:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,EQ_EINDT,Delivery Date Header: All Items Have Same Delivery Date,knowledge_only,,,delivery date,delivery date:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,IHRAN,Quotation Submission Date,knowledge_only,,,quote date,quote date:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,PARE_DAT,Date,knowledge_only,,,time entry date,time entry date:0.90,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKKO,WEAKT,Indicator: Goods Receipt Message,knowledge_only,,,goods receipt,goods receipt:0.55,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKPO,/DMBE/EFFECTIVEDATETO,Effective To,knowledge_only,,,address valid to,address valid to:0.90,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKPO,DELIVERY_ADDRESS_TYPE,Purchasing Delivery Address Type,knowledge_only,,,address type,address type:0.70,promote_new_canonical_concept_or_attach_to_existing
21,P1,MM,EKPO,EBONF,Item Relevant to Subsequent (Period-End Rebate) Settlement,knowledge_only,,,period to,period to:0.55,promote_new_canonical_concept_or_attach_to_existing
